Date,Open,High,Low,Close,Adj Close,Volume
2014-01-02,4160.029785,4160.959961,4131.790039,4143.069824,4143.069824,1738820000
2014-01-03,4148.560059,4152.959961,4124.959961,4131.910156,4131.910156,1667480000
2014-01-06,4137.029785,4139.779785,4103.750000,4113.680176,4113.680176,2292840000
2014-01-07,4128.569824,4158.180176,4126.479980,4153.180176,4153.180176,2278220000
2014-01-08,4154.279785,4171.750000,4145.000000,4165.609863,4165.609863,2345220000
2014-01-09,4179.040039,4182.740234,4142.700195,4156.189941,4156.189941,2214770000
2014-01-10,4168.939941,4174.680176,4142.209961,4174.669922,4174.669922,2143070000
2014-01-13,4167.410156,4179.470215,4097.990234,4113.299805,4113.299805,2322240000
2014-01-14,4129.600098,4183.839844,4125.810059,4183.020020,4183.020020,2034180000
2014-01-15,4196.529785,4218.790039,4195.979980,4214.879883,4214.879883,2101870000
2014-01-16,4209.589844,4219.279785,4204.160156,4218.689941,4218.689941,2005850000
2014-01-17,4207.819824,4217.240234,4187.310059,4197.580078,4197.580078,2150370000
2014-01-21,4222.979980,4227.930176,4193.169922,4225.759766,4225.759766,2034030000
2014-01-22,4234.580078,4246.549805,4225.520020,4243.000000,4243.000000,2026910000
2014-01-23,4224.359863,4224.439941,4192.279785,4218.879883,4218.879883,2191980000
2014-01-24,4194.970215,4197.930176,4128.169922,4128.169922,4128.169922,2489470000
2014-01-27,4132.220215,4136.459961,4052.629883,4083.610107,4083.610107,2398280000
2014-01-28,4067.860107,4099.810059,4067.689941,4097.959961,4097.959961,2091180000
2014-01-29,4060.610107,4091.270020,4044.760010,4051.429932,4051.429932,2231850000
2014-01-30,4098.810059,4135.839844,4094.169922,4123.129883,4123.129883,2168410000
2014-01-31,4068.629883,4124.919922,4067.610107,4103.879883,4103.879883,2300570000
2014-02-03,4105.060059,4113.549805,3989.949951,3996.959961,3996.959961,2617030000
2014-02-04,4019.439941,4044.199951,4004.580078,4031.520020,4031.520020,2173360000
2014-02-05,4015.500000,4026.280029,3968.189941,4011.550049,4011.550049,2168360000
2014-02-06,4022.659912,4064.060059,4022.169922,4057.120117,4057.120117,1942700000
2014-02-07,4081.820068,4126.509766,4069.929932,4125.859863,4125.859863,2055850000
2014-02-10,4125.120117,4148.299805,4122.609863,4148.169922,4148.169922,1811970000
2014-02-11,4154.660156,4198.509766,4153.100098,4191.049805,4191.049805,1993950000
2014-02-12,4196.850098,4212.609863,4190.390137,4201.290039,4201.290039,2035890000
2014-02-13,4171.580078,4240.669922,4170.470215,4240.669922,4240.669922,2249990000
2014-02-14,4237.000000,4250.910156,4225.750000,4244.020020,4244.020020,1881510000
2014-02-18,4253.709961,4277.330078,4243.560059,4272.779785,4272.779785,1886210000
2014-02-19,4260.740234,4274.290039,4232.379883,4237.950195,4237.950195,1956720000
2014-02-20,4241.459961,4272.339844,4226.750000,4267.549805,4267.549805,1992780000
2014-02-21,4282.169922,4284.850098,4261.629883,4263.410156,4263.410156,2138250000
